postcode,locality
2443,DIAMOND HEAD
2443,DICKS HILL
2443,DUNBOGAN
2443,HANNAM VALE
2443,HERONS CREEK
2443,JOHNS RIVER
2443,LAKEWOOD
2443,LAURIETON
2443,MIDDLE BROTHER
2443,MOORLAND
2443,NORTH BROTHER
2443,NORTH HAVEN
2443,STEWARTS RIVER
2443,WAITUI
2443,WEST HAVEN
2444,BLACKMANS POINT
2444,FERNBANK CREEK
2444,FLYNNS BEACH
2444,LIGHTHOUSE BEACH
2444,LIMEBURNERS CREEK
2444,NORTH SHORE
2444,PORT MACQUARIE
2444,PORT MACQUARIE BC
2444,RIVERSIDE
2444,SETTLEMENT CITY
2444,THE HATCH
2444,THRUMSTER
2445,BONNY HILLS
2445,GRANTS BEACH
2445,JOLLY NOSE
2445,LAKE CATHIE
2446,BAGNOO
2446,BAGO
2446,BANDA BANDA
2446,BEECHWOOD
2446,BELLANGRY
2446,BIRDWOOD
2446,BROMBIN
2446,BYABARRA
2446,CAIRNCROSS
2446,CROSSLANDS
2446,DEBENHAM
2446,DOYLES RIVER
2446,ELLENBOROUGH
2446,FORBES RIVER
2446,FRAZERS CREEK
2446,GEARYS FLAT
2446,HARTYS PLAINS
2446,HOLLISDALE
2446,HUNTINGDON
2446,HYNDMANS CREEK
2446,KINDEE
2446,KING CREEK
2446,LAKE INNES
2446,LONG FLAT
2446,LOWER PAPPINBARRA
2446,MARLO MERRICAN
2446,MORTONS CREEK
2446,MOUNT SEAVIEW
2446,PAPPINBARRA
2446,PEMBROOKE
2446,PIPECLAY
2446,RAWDON ISLAND
2446,REDBANK
2446,ROSEWOOD
2446,SANCROX
2446,TOMS CREEK
2446,UPPER PAPPINBARRA
2446,WAUCHOPE
2446,WERRIKIMBE
2446,YARRAS
2446,YIPPIN CREEK
2447,BAKERS CREEK
2447,BURRAPINE
2447,CONGARINNI
2447,CONGARINNI NORTH
2447,DONNELLYVILLE
2447,GUMMA
2447,MACKSVILLE
2447,NEWEE CREEK
2447,NORTH MACKSVILLE
2447,SCOTTS HEAD
2447,TALARM
2447,TAYLORS ARM
2447,THUMB CREEK
2447,UPPER TAYLORS ARM
2447,UTUNGUN
2447,WARRELL CREEK
2447,WAY WAY
2447,WIRRIMBI
2447,YARRANBELLA
2448,HYLAND PARK
2448,NAMBUCCA HEADS
2448,VALLA
2448,VALLA BEACH
2448,VIEWMONT
2449,ARGENTS HILL
2449,BOWRAVILLE
2449,BUCKRA BENDINNI
2449,GIRRALONG
2449,KENNAICLE CREEK
2449,KILLIEKRANKIE
2449,MISSABOTTI
2449,SOUTH ARM
2449,TEWINGA
2450,BOAMBEE
2450,BONVILLE
2450,BROOKLANA
2450,BUCCA
2450,COFFS HARBOUR
2450,COFFS HARBOUR DC
2450,COFFS HARBOUR JETTY
2450,COFFS HARBOUR PLAZA
2450,CORAMBA
2450,DAIRYVILLE
2450,GLENREAGH
2450,KARANGI
2450,KORORA
2450,LOWANNA
2450,LOWER BUCCA
2450,MOONEE BEACH
2450,NANA GLEN
2450,NORTH BOAMBEE VALLEY
2450,SAPPHIRE BEACH
2450,SHERWOOD
2450,ULONG
2450,UPPER ORARA
2452,BAYLDON
2452,BOAMBEE EAST
2452,SAWTELL
2452,TOORMINA
2453,BIELSDOWN HILLS
2453,BILLYS CREEK
2453,BOSTOBRICK
2453,BRIGGSVALE
2453,CASCADE
2453,CLOUDS CREEK
2453,DEER VALE
2453,DORRIGO
2453,DORRIGO MOUNTAIN
2453,DORRIGO NORTH
2453,DUNDURRABIN
2453,EBOR
2453,FERNBROOK
2453,GANGARA
2453,GLEN FERNAIGH
2453,HERNANI
2453,LEIGH
2453,MARENGO
2453,MAYNARDS PLAINS
2453,MEGAN
2453,MOONPAR
2453,MOONPAR
2453,MULDIVA
2453,NEVER NEVER
2453,NORTH DORRIGO
2453,TALLOWWOOD RIDGE
2453,TYRINGHAM
2453,WILD CATTLE CREEK
2454,BELLINGEN
2454,BRIERFIELD
2454,BRINERVILLE
2454,BUNDAGEN
2454,DARKWOOD
2454,FERNMOUNT
2454,GLENIFFER
2454,GORDONVILLE
2454,HYDES CREEK
2454,KALANG
2454,KOOROOWI
2454,MYLESTOM
2454,ORAMA
2454,RALEIGH
2454,REPTON
2454,SCOTCHMAN
2454,SPICKETTS CREEK
2454,SUNNY CORNER
2454,THORA
2454,UPPER THORA
2454,VALERY
2455,TARKEETH
2455,URUNGA
2456,ARRAWARRA
2456,ARRAWARRA HEADLAND
2456,CORINDI BEACH
2456,DIRTY CREEK
2456,EMERALD BEACH
2456,MULLAWAY
2456,RED ROCK
2456,SAFETY BEACH
2456,SANDY BEACH
2456,UPPER CORINDI
2456,WOOLGOOLGA
2460,ALUMY CREEK
2460,BANYABBA
2460,BARCOONGERE
2460,BARRETTS CREEK
2460,BARYULGIL
2460,BLAXLANDS CREEK
2460,BLAXLANDS FLAT
2460,BOM BOM
2460,BOOKRAM
2460,BRAUNSTONE
2460,BRUSHGROVE
2460,BUCCARUMBI
2460,CALAMIA
2460,CANGAI
2460,CARNHAM
2460,CARRS CREEK
2460,CARRS ISLAND
2460,CARRS PENINSULA
2460,CARRS PENINSULAR
2460,CHAELUNDI
2460,CHAMBIGNE
2460,CLARENZA
2460,CLIFDEN
2460,COALDALE
2460,COLLUM COLLUM
2460,COOMBADJHA
2460,COPMANHURST
2460,COUTTS CROSSING
2460,COWPER
2460,CROWTHER ISLAND
2460,DALMORTON
2460,DEEP CREEK
2460,DILKOON
2460,DIRTY CREEK
2460,DUMBUDGERY
2460,EATONSVILLE
2460,EIGHTEEN MILE
2460,ELLAND
2460,FINE FLOWER
2460,FORTIS CREEK
2460,GLENUGIE
2460,GRAFTON
2460,GRAFTON WEST
2460,GREAT MARLOW
2460,GURRANANG
2460,HALFWAY CREEK
2460,HEIFER STATION
2460,JACKADGERY
2460,JUNCTION HILL
2460,KANGAROO CREEK
2460,KEYBARBIN
2460,KOOLKHAN
2460,KREMNOS
2460,KUNGALA
2460,KYARRAN
2460,LANITZA
2460,LAWRENCE
2460,LEVENSTRATH
2460,LILYDALE
2460,LIONSVILLE
2460,LOWER COLDSTREAM
2460,LOWER SOUTHGATE
2460,MALABUGILMAH
2460,MCPHERSONS CROSSING
2460,MOLEVILLE CREEK
2460,MOUNTAIN VIEW
2460,MYLNEFORD
2460,NEWBOLD
2460,NYMBOIDA
2460,PULGANBAR
2460,PUNCHBOWL
2460,RAMORNIE
2460,RUSHFORTH
2460,SANDY CROSSING
2460,SEELANDS
2460,SHANNONDALE
2460,SMITHS CREEK
2460,SOUTH ARM
2460,SOUTH GRAFTON
2460,SOUTHAMPTON
2460,SOUTHGATE
2460,STOCKYARD CREEK
2460,THE PINNACLES
2460,THE WHITEMAN
2460,TOWALLUM
2460,TRENAYR
2460,TYNDALE
2460,UPPER COPMANHURST
2460,UPPER FINE FLOWER
2460,WARRAGAI CREEK
2460,WASHPOOL
2460,WATERVIEW
2460,WATERVIEW HEIGHTS
2460,WELLS CROSSING
2460,WHITEMAN CREEK
2460,WINEGROVE
2460,WOMBAT CREEK
2462,CALLIOPE
2462,COLDSTREAM
2462,DIGGERS CAMP
2462,GILLETTS RIDGE
2462,LAKE HIAWATHA
2462,LAVADIA
2462,MINNIE WATER
2462,PILLAR VALLEY
2462,SWAN CREEK
2462,TUCABIA
2462,ULMARRA
2462,WOOLI
2463,ASHBY
2463,ASHBY HEIGHTS
2463,ASHBY ISLAND
2463,BROOMS HEAD
2463,GULMARRAD
2463,ILARWILL
2463,JACKY BULBIN FLAT
2463,JAMES CREEK
2463,MACLEAN
2463,PALMERS CHANNEL
2463,PALMERS ISLAND
2463,SANDON
2463,SHARK CREEK
2463,TALOUMBI
2463,THE SANDON
2463,TOWNSEND
2463,TULLYMORGAN
2463,WOODFORD
2463,WOODFORD ISLAND
2464,ANGOURIE
2464,FREEBURN ISLAND
2464,MICALO ISLAND
2464,WOOLOWEYAH
2464,YAMBA
2464,YURAYGIR
2465,HARWOOD
2466,ILUKA
2466,THE FRESHWATER
2466,WOODY HEAD
2469,ALICE
2469,BANYABBA
2469,BEAN CREEK
2469,BINGEEBEEBRA
2469,BINGEEBEEBRA CREEK
2469,BONALBO
2469,BOOMOODEERIE
2469,BOTTLE CREEK
2469,BULLDOG
2469,BUNGAWALBIN
2469,BUSBYS FLAT
2469,CAMBRIDGE PLATEAU
2469,CAMIRA
2469,CAMIRA CREEK
2469,CAPEEN
2469,CAPEEN CREEK
2469,CHATSWORTH
2469,CLEARFIELD
2469,CLOVER PARK
2469,COONGBAR
2469,CULMARAN CREEK
2469,DEEP CREEK
2469,DRAKE
2469,DRAKE VILLAGE
2469,DUCK CREEK
2469,EWINGAR
2469,GIBBERAGEE
2469,GOODWOOD ISLAND
2469,GORGE CREEK
2469,HAYSTACK
2469,HOGARTH RANGE
2469,JACKSONS FLAT
2469,JOES BOX
2469,KEYBARBIN
2469,KIPPENDUFF
2469,LOUISA CREEK
2469,LOWER BOTTLE CREEK
2469,LOWER DUCK CREEK
2469,LOWER PEACOCK
2469,MALLANGANEE
2469,MOOKIMA WYBRA
2469,MORORO
2469,MOUNT MARSH
2469,MUMMULGUM
2469,MYRTLE CREEK
2469,OLD BONALBO
2469,PADDYS FLAT
2469,PAGANS FLAT
2469,PEACOCK CREEK
2469,PIKAPENE
2469,PRETTY GULLY
2469,RAPPVILLE
2469,SANDILANDS
2469,SIMPKINS CREEK
2469,SIX MILE SWAMP
2469,TABULAM
2469,THERESA CREEK
2469,TUNGLEBUNG
2469,UPPER DUCK CREEK
2469,WARREGAH ISLAND
2469,WHIPORIE
2469,WOOMBAH
2469,WYAN
2469,YABBRA
2470,ALICE
2470,BABYL CREEK
2470,BACKMEDE
2470,BARAIMAL
2470,CASINO
2470,COOLANESS
2470,COOMBELL
2470,DOBIES BIGHT
2470,DOUBTFUL CREEK
2470,DYRAABA
2470,DYRAABA CENTRAL
2470,DYRAABA CREEK
2470,ELLANGOWAN
2470,FAIRY HILL
2470,IRVINGTON
2470,LEEVILLE
2470,LOWER DYRAABA
2470,MONGOGARIE
2470,NAUGHTONS GAP
2470,NORTH CASINO
2470,PIORA
2470,SEXTONVILLE
2470,SHANNON BROOK
2470,SPRING GROVE
2470,STRATHEDEN
2470,TOMKI
2470,UPPER MONGOGARIE
2470,WOODVIEW
2470,WOOLNERS ARM
2470,WOOROOWOOLGAN
2470,YORKLEA
2471,BORA RIDGE
2471,CODRINGTON
2471,CORAKI
2471,EAST CORAKI
2471,GREEN FOREST
2471,GREENRIDGE
2471,NORTH WOODBURN
2471,SWAN BAY
2471,TATHAM
2471,WEST BUNGAWALBIN
2471,WEST CORAKI
2472,BROADWATER
2472,BUCKENDOON
2472,ESK
2472,KILGIN
2472,MOONEM
2472,NEW ITALY
2472,RILEYS HILL
2472,TABBIMOBLE
2472,THE GAP
2472,TRUSTUMS HILL
2472,WOODBURN
2473,BUNDJALUNG
2473,DOONBAH
2473,EVANS HEAD
2473,IRON GATES
2473,SOUTH EVANS HEAD
2474,AFTERLEE
2474,BARKERS VALE
2474,BORDER RANGES
2474,CAWONGLA
2474,CEDAR POINT
2474,COLLINS CREEK
2474,COUGAL
2474,DAIRY FLAT
2474,EDEN CREEK
2474,EDENVILLE
2474,ETTRICK
2474,FAWCETTS PLAIN
2474,FINDON CREEK
2474,GENEVA
2474,GHINNI GHI
2474,GRADYS CREEK
2474,GREEN PIGEON
2474,GREVILLIA
2474,HOMELEIGH
2474,HORSE STATION CREEK
2474,HORSESHOE CREEK
2474,IRON POT CREEK
2474,KILGRA
2474,KYOGLE
2474,LITTLE BACK CREEK
2474,LOADSTONE
2474,LYNCHS CREEK
2474,NEW PARK
2474,OLD GREVILLIA
2474,ROSEBERRY
2474,ROSEBERRY CREEK
2474,RUKENVALE
2474,SAWPIT CREEK
2474,SHERWOOD
2474,SMITHS CREEK
2474,TERRACE CREEK
2474,THE RISK
2474,TOONUMBAR
2474,UNUMGAR
2474,UPPER EDEN CREEK
2474,UPPER HORSESHOE CREEK
2474,WADEVILLE
2474,WARRAZAMBIL CREEK
2474,WEST WIANGAREE
2474,WIANGAREE
2474,WYNEDEN
2475,BEAURY CREEK
2475,TOOLOOM
2475,UPPER TOOLOOM
2475,URBENVILLE
2475,WALLABY CREEK
2476,ACACIA CREEK
2476,ACACIA PLATEAU
2476,BOOMI CREEK
2476,BRUMBY PLAINS
2476,KOREELAH
2476,LEGUME
2476,LINDESAY CREEK
2476,LOWER ACACIA CREEK
2476,MULI MULI
2476,OLD KOREELAH
2476,THE GLEN
2476,WOODENBONG
2477,ALSTONVALE
2477,ALSTONVILLE
2477,BAGOTVILLE
2477,CABBAGE TREE ISLAND
2477,DALWOOD
2477,EAST WARDELL
2477,GOAT ISLAND
2477,LYNWOOD
2477,MEERSCHAUM VALE
2477,PEARCES CREEK
2477,ROUS
2477,ROUS MILL
2477,TUCKOMBIL
2477,URALBA
2477,WARDELL
2477,WOLLONGBAR
2478,BALLINA
2478,BALLINA DC
2478,COOLGARDIE
2478,CUMBALUM
2478,EAST BALLINA
2478,EMPIRE VALE
2478,KEITH HALL
2478,KINVARA
2478,LENNOX HEAD
2478,PATCHS BEACH
2478,PIMLICO
2478,PIMLICO ISLAND
2478,SKENNARS HEAD
2478,SOUTH BALLINA
2478,TEVEN
2478,TINTENBAR
2478,WEST BALLINA
2479,BANGALOW
2479,BINNA BURRA
2479,BROOKLET
2479,COOPERS SHOOT
2479,COORABELL
2479,FERNLEIGH
2479,KNOCKROW
2479,MCLEODS SHOOT
2479,NASHUA
2479,NEWRYBAR
2479,POSSUM CREEK
2479,ST HELENA
2480,BACK CREEK
2480,BENTLEY
2480,BEXHILL
2480,BLAKEBROOK
2480,BLUE KNOB
2480,BOAT HARBOUR
2480,BOOERIE CREEK
2480,BOORABEE PARK
2480,BOOYONG
2480,BUNGABBEE
2480,CANIABA
2480,CHILCOTTS GRASS
2480,CLOVASS
2480,CLUNES
2480,COFFEE CAMP
2480,CORNDALE
2480,DORROUGHBY
2480,DUNGARUBBA
2480,DUNOON
2480,EAST LISMORE
2480,ELTHAM
2480,EUREKA
2480,FEDERAL
2480,FERNSIDE
2480,GEORGICA
2480,GIRARDS HILL
2480,GOOLMANGAR
2480,GOONELLABAH
2480,GUNDURIMBA
2480,HOWARDS GRASS
2480,JIGGI
2480,KEERRONG
2480,KOONORIGAN
2480,LAGOON GRASS
2480,LARNOOK
2480,LEYCESTER
2480,LILLIAN ROCK
2480,LINDENDALE
2480,LISMORE
2480,LISMORE DC
2480,LISMORE HEIGHTS
2480,LOFTVILLE
2480,MAROM CREEK
2480,MCKEES HILL
2480,MCLEANS RIDGES
2480,MISSINGHAM
2480,MODANVILLE
2480,MONALTRIE
2480,MOUNTAIN TOP
2480,NIGHTCAP
2480,NIMBIN
2480,NORTH LISMORE
2480,NUMULGI
2480,REPENTANCE CREEK
2480,RICHMOND HILL
2480,ROCK VALLEY
2480,ROSEBANK
2480,RUTHVEN
2480,SOUTH GUNDURIMBA
2480,SOUTH LISMORE
2480,STEVE KINGS PLAINS
2480,STONY CHUTE
2480,TERANIA CREEK
2480,THE CHANNON
2480,TREGEAGLE
2480,TUCKI TUCKI
2480,TUCKURIMBA
2480,TULLERA
2480,TUNCESTER
2480,TUNTABLE CREEK
2480,TUNTABLE FALLS
2480,UPPER COOPERS CREEK
2480,WHIAN WHIAN
2480,WOODLAWN
2480,WYRALLAH
2481,BROKEN HEAD
2481,BYRON BAY
2481,EWINGSDALE
2481,HAYTERS HILL
2481,MYOCUM
2481,SKINNERS SHOOT
2481,SUFFOLK PARK
2481,TALOFA
2481,TYAGARAH
2482,GOONENGERRY
2482,HUONBROOK
2482,KOONYUM RANGE
2482,MAIN ARM
2482,MONTECOLLUM
2482,MULLUMBIMBY
2482,MULLUMBIMBY CREEK
2482,PALMWOODS
2482,UPPER COOPERS CREEK
2482,UPPER MAIN ARM
2482,UPPER WILSONS CREEK
2482,WANGANUI
2482,WILSONS CREEK
2483,BILLINUDGEL
2483,BRUNSWICK HEADS
2483,BURRINGBAR
2483,CRABBES CREEK
2483,MIDDLE POCKET
2483,MOOBALL
2483,NEW BRIGHTON
2483,OCEAN SHORES
2483,SLEEPY HOLLOW
2483,SOUTH GOLDEN BEACH
2483,THE POCKET
2483,UPPER BURRINGBAR
2483,WOOYUNG
2483,YELGUN
2484,BACK CREEK
2484,BOAT HARBOUR
2484,BRAY PARK
2484,BRAYS CREEK
2484,BYANGUM
2484,BYRRILL CREEK
2484,CEDAR CREEK
2484,CHILLINGHAM
2484,CHOWAN CREEK
2484,CLOTHIERS CREEK
2484,COMMISSIONERS CREEK
2484,CONDONG
2484,CRYSTAL CREEK
2484,CUDGERA CREEK
2484,DOON DOON
2484,DULGUIGAN
2484,DUM DUM
2484,DUNBIBLE
2484,DUNGAY
2484,EUNGELLA
2484,EVIRON
2484,FARRANTS HILL
2484,FERNVALE
2484,HOPKINS CREEK
2484,KIELVALE
2484,KUNGHUR
2484,KUNGHUR CREEK
2484,KYNNUMBOON
2484,LIMPINWOOD
2484,MEBBIN
2484,MIDGINBIL
2484,MOUNT BURRELL
2484,MOUNT WARNING
2484,MURWILLUMBAH
2484,MURWILLUMBAH DC
2484,MURWILLUMBAH SOUTH
2484,NOBBYS CREEK
2484,NORTH ARM
2484,NUMINBAH
2484,NUNDERI
2484,PALMVALE
2484,PUMPENBIL
2484,RESERVE CREEK
2484,ROUND MOUNTAIN
2484,ROWLANDS CREEK
2484,SMITHS CREEK
2484,SOUTH MURWILLUMBAH
2484,STOKERS SIDING
2484,TERRAGON
2484,TOMEWIN
2484,TYALGUM
2484,TYALGUM CREEK
2484,TYGALGAH
2484,UKI
2484,UPPER CRYSTAL CREEK
2484,URLIUP
2484,WARDROP VALLEY
2484,ZARA
2485,TWEED HEADS
2485,TWEED HEADS WEST
2486,BANORA POINT
2486,BILAMBIL
2486,BILAMBIL HEIGHTS
2486,BUNGALORA
2486,CAROOL
2486,COBAKI
2486,COBAKI LAKES
2486,DUROBY
2486,GLENGARRIE
2486,PIGGABEEN
2486,TERRANORA
2486,TWEED HEADS SOUTH
2486,TWEED HEADS SOUTH DC
2486,UPPER DUROBY
2487,CASUARINA
2487,CHINDERAH
2487,CUDGEN
2487,DURANBAH
2487,FINGAL HEAD
2487,KINGS FOREST
2487,KINGSCLIFF
2487,STOTTS CREEK
2488,BOGANGAR
2488,CABARITA BEACH
2488,TANGLEWOOD
2489,HASTINGS POINT
2489,POTTSVILLE
2489,POTTSVILLE BEACH
2490,NORTH TUMBULGUM
2490,TUMBULGUM
2500,CONISTON
2500,GWYNNEVILLE
2500,KEIRAVILLE
2500,MANGERTON
2500,MOUNT KEIRA
2500,MOUNT SAINT THOMAS
2500,NORTH WOLLONGONG
2500,SPRING HILL
2500,WEST WOLLONGONG
2500,WOLLONGONG
2500,WOLLONGONG DC
2500,WOLLONGONG NORTH
2500,WOLLONGONG WEST
2502,CRINGILA
2502,LAKE HEIGHTS
2502,PRIMBEE
2502,WARRAWONG
2505,KEMBLAWARRA
2505,PORT KEMBLA
2506,BERKELEY
2508,COALCLIFF
2508,DARKES FOREST
2508,HELENSBURGH
2508,LILYVALE
2508,MADDENS PLAINS
2508,OTFORD
2508,STANWELL PARK
2508,STANWELL TOPS
2508,WORONORA DAM
2515,AUSTINMER
2515,CLIFTON
2515,COLEDALE
2515,SCARBOROUGH
2515,THIRROUL
2515,WOMBARRA
2516,BULLI
2516,BULLI TOPS
2517,RUSSELL VALE
2517,WOONONA
2517,WOONONA EAST
2518,BELLAMBI
2518,CORRIMAL
2518,CORRIMAL EAST
2518,EAST CORRIMAL
2518,TARRAWANNA
2518,TOWRADGI
2519,BALGOWNIE
2519,FAIRY MEADOW
2519,FERNHILL
2519,MOUNT OUSLEY
2519,MOUNT PLEASANT
2519,REIDTOWN
2520,WOLLONGONG
2522,UNIVERSITY OF WOLLONGONG
2525,FIGTREE
2526,CORDEAUX
2526,CORDEAUX HEIGHTS
2526,FARMBOROUGH HEIGHTS
2526,KEMBLA GRANGE
2526,KEMBLA HEIGHTS
2526,MOUNT KEMBLA
2526,UNANDERRA
2526,UNANDERRA DC
2527,ALBION PARK
2527,ALBION PARK RAIL
2527,CALDERWOOD
2527,CROOM
2527,NORTH MACQUARIE
2527,TONGARRA
2527,TULLIMBAR
2527,YELLOW ROCK
2528,BARRACK HEIGHTS
2528,BARRACK POINT
2528,LAKE ILLAWARRA
2528,MOUNT WARRIGAL
2528,WARILLA
2528,WINDANG
2529,BALARANG
2529,BLACKBUTT
2529,DUNMORE
2529,FLINDERS
2529,OAK FLATS
2529,OAK FLATS DC
2529,SHELL COVE
2529,SHELLHARBOUR
2529,SHELLHARBOUR CITY CENTRE
2529,SHELLHARBOUR SQUARE
2530,AVONDALE
2530,BROWNSVILLE
2530,CLEVELAND
2530,DAPTO
2530,DOMBARTON
2530,HAYWARDS BAY
2530,HORSLEY
2530,HUNTLEY
2530,KANAHOOKA
2530,KOONAWARRA
2530,MARSHALL MOUNT
2530,WONGAWILLI
2530,YALLAH
2533,BOMBO
2533,CURRAMORE
2533,JAMBEROO
2533,JERRARA
2533,KIAMA
2533,KIAMA DOWNS
2533,KIAMA HEIGHTS
2533,MINNAMURRA
2533,SADDLEBACK MOUNTAIN
2534,BROUGHTON VILLAGE
2534,FOXGROUND
2534,GERRINGONG
2534,GERROA
2534,ROSE VALLEY
2534,TOOLIJOOA
2534,WERRI BEACH
2534,WILLOW VALE
2535,BACK FOREST
2535,BELLAWONGARAH
2535,BERRY
2535,BERRY MOUNTAIN
2535,BROGERS CREEK
2535,BROUGHTON
2535,BROUGHTON VALE
2535,BUDDEROO
2535,BUNDEWALLAH
2535,COOLANGATTA
2535,FAR MEADOW
2535,JASPERS BRUSH
2535,SHOALHAVEN HEADS
2535,WATTAMOLLA
2535,WOODHILL
2536,BATEHAVEN
2536,BATEMANS BAY
2536,BENANDARAH
2536,BIMBIMBIE
2536,BUCKENBOWRA
2536,CATALINA
2536,CURROWAN
2536,DENHAMS BEACH
2536,DEPOT BEACH
2536,DURRAS NORTH
2536,EAST LYNNE
2536,GUERILLA BAY
2536,JEREMADRA
2536,LILLI PILLI
2536,LONG BEACH
2536,MALONEYS BEACH
2536,MALUA BAY
2536,MERRICUMBENE
2536,MOGO
2536,MURRENGENBURG
2536,NELLIGEN
2536,NORTH BATEMANS BAY
2536,PEBBLY BEACH
2536,ROSEDALE
2536,RUNNYFORD
2536,SOUTH DURRAS
2536,SUNSHINE BAY
2536,SURF BEACH
2536,SURFSIDE
2536,WOODLANDS
2537,BERGALIA
2537,BINGIE
2537,BROULEE
2537,COILA
2537,CONGO
2537,DEUA
2537,DEUA RIVER VALLEY
2537,KIORA
2537,MERINGO
2537,MOGENDOURA
2537,MORUYA
2537,MORUYA HEADS
2537,MOSSY POINT
2537,TOMAKIN
2537,TURLINJAH
2537,TUROSS HEAD
2537,WAMBAN
2538,BROOMAN
2538,LITTLE FOREST
2538,MILTON
2538,MOGOOD
2538,MORTON
2538,PORTERS CREEK
2538,WOODBURN
2538,WOODSTOCK
2539,BAWLEY POINT
2539,BENDALONG
2539,BERRINGER LAKE
2539,BURRILL LAKE
2539,COCKWHY
2539,CONJOLA
2539,CONJOLA PARK
2539,CROOBYAR
2539,CUNJURONG POINT
2539,DOLPHIN POINT
2539,FISHERMANS PARADISE
2539,KINGS POINT
2539,KIOLOA
2539,LAKE CONJOLA
2539,LAKE TABOURIE
2539,MANYANA
2539,MOLLYMOOK
2539,MOLLYMOOK BEACH
2539,MOUNT KINGIMAN
2539,NARRAWALLEE
2539,POINTER MOUNTAIN
2539,PRETTY BEACH
2539,TERMEIL
2539,ULLADULLA
2539,YADBORO
2539,YATTE YATTAH
2540,BAMARANG
2540,BARRINGELLA
2540,BASIN VIEW
2540,BEECROFT PENINSULA
2540,BERRARA
2540,BEWONG
2540,BOLONG
2540,BOOLIJAH
2540,BREAM BEACH
2540,BROWNS MOUNTAIN
2540,BRUNDEE
2540,BUANGLA
2540,BURRIER
2540,CALLALA BAY
2540,CALLALA BEACH
2540,CAMBEWARRA
2540,CAMBEWARRA VILLAGE
2540,COMBERTON
2540,COMERONG ISLAND
2540,CUDMIRRAH
2540,CULBURRA BEACH
2540,CURRARONG
2540,EROWAL BAY
2540,ETTREMA
2540,FALLS CREEK
2540,GREENWELL POINT
2540,HMAS ALBATROSS
2540,HUSKISSON
2540,HYAMS BEACH
2540,ILLAROO
2540,JERRAWANGALA
2540,KINGHORNE
2540,LONGREACH
2540,MAYFIELD
2540,MEROO MEADOW
2540,MONDAYONG
2540,MOOLLATTOO
2540,MUNDAMIA
2540,MYOLA
2540,NOWRA HILL
2540,NOWRA NAVAL PO
2540,NUMBAA
2540,OLD EROWAL BAY
2540,ORIENT POINT
2540,PARMA
2540,PYREE
2540,SANCTUARY POINT
2540,ST GEORGES BASIN
2540,SUSSEX INLET
2540,SWANHAVEN
2540,TALLOWAL
2540,TAPITALLEE
2540,TERARA
